Loading dataset...
Downloading https://www.cs.toronto.edu/~kriz/cifar-10-python.tar.gz to ./data/raw/cifar-10-python.tar.gz
100% 170498071/170498071 [00:06<00:00, 24857119.72it/s]
Extracting ./data/raw/cifar-10-python.tar.gz to ./data/raw
Creating retain/forget splits...
  Retain set size: 45000
  Forget set size: 5000
  Retain train: 40500, Retain val: 4500
  Forget train: 4500, Forget val: 500
Creating data loaders...
Data loaders created. Training will start now...
Configuration: epochs=5, batch_size=32, device=cuda
Running fine-tuning unlearning...
/usr/local/lib/python3.12/dist-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/usr/local/lib/python3.12/dist-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=None`.
  warnings.warn(msg)

[Fine-tune 1/5] Starting epoch...
Epoch: [1][19/1266]	Loss 1.6795 (1.5457)	Accuracy 34.375 (43.750)	Time 1.91
Epoch: [1][39/1266]	Loss 1.4449 (1.5097)	Accuracy 50.000 (44.688)	Time 0.78
Epoch: [1][59/1266]	Loss 1.5495 (1.5020)	Accuracy 40.625 (44.167)	Time 0.81
Epoch: [1][79/1266]	Loss 1.3051 (1.4951)	Accuracy 50.000 (44.844)	Time 0.85
Epoch: [1][99/1266]	Loss 1.6424 (1.5016)	Accuracy 43.750 (44.938)	Time 0.80
Epoch: [1][119/1266]	Loss 1.7680 (1.5029)	Accuracy 25.000 (44.635)	Time 0.75
Epoch: [1][139/1266]	Loss 1.6362 (1.5014)	Accuracy 31.250 (44.754)	Time 0.75
Epoch: [1][159/1266]	Loss 1.6566 (1.4991)	Accuracy 34.375 (44.961)	Time 0.83
Epoch: [1][179/1266]	Loss 1.3174 (1.4946)	Accuracy 53.125 (45.347)	Time 0.76
Epoch: [1][199/1266]	Loss 1.2905 (1.4881)	Accuracy 59.375 (45.422)	Time 0.75
Epoch: [1][219/1266]	Loss 1.5375 (1.4922)	Accuracy 56.250 (45.298)	Time 0.74
Epoch: [1][239/1266]	Loss 1.2444 (1.4878)	Accuracy 53.125 (45.417)	Time 0.76
Epoch: [1][259/1266]	Loss 1.5023 (1.4880)	Accuracy 56.250 (45.481)	Time 0.76
Epoch: [1][279/1266]	Loss 1.5669 (1.4831)	Accuracy 40.625 (45.759)	Time 0.76
Epoch: [1][299/1266]	Loss 1.3102 (1.4762)	Accuracy 56.250 (46.083)	Time 0.75
Epoch: [1][319/1266]	Loss 1.2320 (1.4736)	Accuracy 50.000 (46.182)	Time 0.76
Epoch: [1][339/1266]	Loss 1.2513 (1.4701)	Accuracy 59.375 (46.296)	Time 0.75
Epoch: [1][359/1266]	Loss 1.4060 (1.4673)	Accuracy 43.750 (46.354)	Time 0.80
Epoch: [1][379/1266]	Loss 1.3020 (1.4654)	Accuracy 62.500 (46.530)	Time 0.80
Epoch: [1][399/1266]	Loss 1.5556 (1.4632)	Accuracy 46.875 (46.656)	Time 0.84
Epoch: [1][419/1266]	Loss 1.3891 (1.4643)	Accuracy 56.250 (46.644)	Time 0.76
Epoch: [1][439/1266]	Loss 1.4378 (1.4648)	Accuracy 53.125 (46.719)	Time 0.76
Epoch: [1][459/1266]	Loss 1.5909 (1.4619)	Accuracy 50.000 (46.889)	Time 0.75
Epoch: [1][479/1266]	Loss 1.6322 (1.4603)	Accuracy 43.750 (46.901)	Time 0.76
Epoch: [1][499/1266]	Loss 1.6004 (1.4566)	Accuracy 34.375 (46.975)	Time 0.76
Epoch: [1][519/1266]	Loss 1.7757 (1.4581)	Accuracy 40.625 (46.935)	Time 0.76
Epoch: [1][539/1266]	Loss 1.5309 (1.4558)	Accuracy 37.500 (46.985)	Time 0.76
Epoch: [1][559/1266]	Loss 1.5068 (1.4557)	Accuracy 46.875 (46.953)	Time 0.75
Epoch: [1][579/1266]	Loss 1.6471 (1.4576)	Accuracy 46.875 (46.983)	Time 0.75
Epoch: [1][599/1266]	Loss 1.3720 (1.4567)	Accuracy 53.125 (46.979)	Time 0.75
Epoch: [1][619/1266]	Loss 1.4373 (1.4576)	Accuracy 46.875 (46.946)	Time 0.76
Epoch: [1][639/1266]	Loss 1.2809 (1.4558)	Accuracy 53.125 (47.021)	Time 0.76
Epoch: [1][659/1266]	Loss 1.5420 (1.4564)	Accuracy 53.125 (47.060)	Time 0.76
Epoch: [1][679/1266]	Loss 1.3518 (1.4575)	Accuracy 43.750 (46.972)	Time 0.81
Epoch: [1][699/1266]	Loss 1.6202 (1.4571)	Accuracy 31.250 (46.929)	Time 0.81
Epoch: [1][719/1266]	Loss 1.5803 (1.4572)	Accuracy 46.875 (46.936)	Time 0.84
Epoch: [1][739/1266]	Loss 1.3159 (1.4565)	Accuracy 53.125 (46.959)	Time 0.76
Epoch: [1][759/1266]	Loss 1.5487 (1.4566)	Accuracy 34.375 (46.908)	Time 0.76
Epoch: [1][779/1266]	Loss 1.4594 (1.4555)	Accuracy 59.375 (46.975)	Time 0.78
Epoch: [1][799/1266]	Loss 1.2991 (1.4537)	Accuracy 56.250 (47.012)	Time 0.76
Epoch: [1][819/1266]	Loss 1.5012 (1.4540)	Accuracy 46.875 (46.982)	Time 0.76
Epoch: [1][839/1266]	Loss 1.3417 (1.4547)	Accuracy 43.750 (46.987)	Time 0.76
Epoch: [1][859/1266]	Loss 1.3359 (1.4542)	Accuracy 50.000 (46.977)	Time 0.77
Epoch: [1][879/1266]	Loss 1.6333 (1.4546)	Accuracy 37.500 (46.960)	Time 0.78
Epoch: [1][899/1266]	Loss 1.7111 (1.4544)	Accuracy 34.375 (46.951)	Time 0.78
Epoch: [1][919/1266]	Loss 1.6868 (1.4547)	Accuracy 37.500 (46.974)	Time 0.77
Epoch: [1][939/1266]	Loss 1.4171 (1.4546)	Accuracy 62.500 (47.008)	Time 0.77
Epoch: [1][959/1266]	Loss 1.3271 (1.4547)	Accuracy 56.250 (46.956)	Time 0.77
Epoch: [1][979/1266]	Loss 1.2376 (1.4538)	Accuracy 43.750 (46.945)	Time 0.81
Epoch: [1][999/1266]	Loss 1.4967 (1.4550)	Accuracy 46.875 (46.944)	Time 0.82
Epoch: [1][1019/1266]	Loss 1.2933 (1.4556)	Accuracy 62.500 (46.964)	Time 0.85
Epoch: [1][1039/1266]	Loss 1.4464 (1.4543)	Accuracy 40.625 (47.064)	Time 0.79
Epoch: [1][1059/1266]	Loss 1.3206 (1.4541)	Accuracy 46.875 (47.058)	Time 0.77
Epoch: [1][1079/1266]	Loss 1.3917 (1.4518)	Accuracy 43.750 (47.176)	Time 0.76
Epoch: [1][1099/1266]	Loss 1.3063 (1.4518)	Accuracy 56.250 (47.219)	Time 0.76
Epoch: [1][1119/1266]	Loss 1.3271 (1.4514)	Accuracy 37.500 (47.221)	Time 0.76
Epoch: [1][1139/1266]	Loss 1.3025 (1.4509)	Accuracy 53.125 (47.253)	Time 0.76
Epoch: [1][1159/1266]	Loss 1.2866 (1.4501)	Accuracy 53.125 (47.274)	Time 0.76
Epoch: [1][1179/1266]	Loss 1.2849 (1.4498)	Accuracy 56.250 (47.270)	Time 0.76
Epoch: [1][1199/1266]	Loss 1.2021 (1.4499)	Accuracy 62.500 (47.299)	Time 0.76
Epoch: [1][1219/1266]	Loss 1.5532 (1.4493)	Accuracy 40.625 (47.344)	Time 0.76
Epoch: [1][1239/1266]	Loss 1.6235 (1.4497)	Accuracy 43.750 (47.329)	Time 0.76
Epoch: [1][1259/1266]	Loss 1.3856 (1.4490)	Accuracy 34.375 (47.341)	Time 0.77
train_accuracy 47.358
   tr_acc: 0.5068
   tf_acc: 0.5053
   vr_acc: 0.4993
   vf_acc: 0.4720

[Fine-tune 2/5] Starting epoch...
Epoch: [2][19/1266]	Loss 1.3270 (1.3472)	Accuracy 56.250 (49.219)	Time 0.81
Epoch: [2][39/1266]	Loss 1.1997 (1.3377)	Accuracy 56.250 (51.562)	Time 0.82
Epoch: [2][59/1266]	Loss 1.4846 (1.3614)	Accuracy 37.500 (50.208)	Time 0.83
Epoch: [2][79/1266]	Loss 1.3657 (1.3875)	Accuracy 46.875 (49.805)	Time 0.76
Epoch: [2][99/1266]	Loss 1.3761 (1.3865)	Accuracy 53.125 (50.031)	Time 0.76
Epoch: [2][119/1266]	Loss 1.2315 (1.3936)	Accuracy 56.250 (49.922)	Time 0.77
Epoch: [2][139/1266]	Loss 1.3914 (1.3957)	Accuracy 53.125 (50.112)	Time 0.79
Epoch: [2][159/1266]	Loss 1.3985 (1.3916)	Accuracy 53.125 (49.883)	Time 0.76
Epoch: [2][179/1266]	Loss 1.4103 (1.3895)	Accuracy 50.000 (50.052)	Time 0.77
Epoch: [2][199/1266]	Loss 1.4338 (1.3867)	Accuracy 56.250 (50.219)	Time 0.77
Epoch: [2][219/1266]	Loss 1.1109 (1.3810)	Accuracy 59.375 (50.256)	Time 0.77
Epoch: [2][239/1266]	Loss 1.2194 (1.3773)	Accuracy 53.125 (50.221)	Time 0.77
Epoch: [2][259/1266]	Loss 1.0096 (1.3777)	Accuracy 62.500 (50.156)	Time 0.76
Epoch: [2][279/1266]	Loss 1.2872 (1.3749)	Accuracy 46.875 (50.257)	Time 0.77
Epoch: [2][299/1266]	Loss 1.3621 (1.3692)	Accuracy 46.875 (50.552)	Time 0.76
Epoch: [2][319/1266]	Loss 1.3942 (1.3688)	Accuracy 46.875 (50.557)	Time 0.79
